"License No.","Business Name",DBA,"License Type",City,County,Expiration
DAAA-VKRC-CXKF,"BIG BUDS DISPENSARY INC","Big Buds Natural Releaf II Dispensary",Dispensary,SKIATOOK,Tulsa,2023-12-23
DAAA-FCZL-BTKN,"Health Express 6-T, LLC","Health Express 6-T, LLC",Dispensary,ENID,Garfield,2024-05-11
DAAA-E1D5-MWOU,"THOMAS RAY SMITH",CANNAISSEURS,Dispensary,Hartshorne,Pittsburg,2024-04-06
DAAA-KQRO-QHT2,"SB Mayfair LLC","Star Buds Mayfair",Dispensary,"OKLAHOMA CITY",Oklahoma,2022-10-20
DAAA-SQLZ-RQQ7,"Green Times Enterprises Inc","Healing Plants",Dispensary,LEBANON,Marshall,2024-01-10
DAAA-EJ6K-39DH,"Pasolindo LLC","Evergreen Cannabis Collective",Dispensary,"Oklahoma City",Oklahoma,2023-08-07
DAAA-EYHY-RZFY,"Mister Mary Jane LLC","Mister Mary Jane",Dispensary,DUNCAN,Stephens,2023-09-29
DAAA-4YKZ-SHBW,"Bo and Ja Trucking Corp","The Wild Wood Weed",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-02-28
DAAA-41NI-4FPS,"Mainstreet 420 Shop","Mainstreet 420 Shop",Dispensary,Binger,Caddo,2023-05-23
DAAA-44MU-XJRF,"Hardee Pharms LLC","Hardee Pharms LLC",Dispensary,CALUMET,Canadian,2024-03-31
DAAA-HAAS-FAKO,"Fire Depot Dispensary","Fire Depot Dispensary",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-20
DAAA-EKXF-XRVF,"Pot Luck Dispensary, LLC","Pot Luck Dispensary, LLC",Dispensary,LAWTON,Comanche,2024-03-13
DAAA-VKK4-QESC,"The Green Tumbleweed, LLC","The Green Tumbleweed",Dispensary,LAWTON,Comanche,2023-10-20
DAAA-41ZP-SHYN,"Southern Plains Processing, LLC","Southern Plains Processing, LLC",Dispensary,APACHE,Caddo,2023-12-11
DAAA-G0FY-INCY,"The Station Cannabis Company, LLP","The Station Cannabis Company, LLP",Dispensary,"RED OAK",Latimer,2023-10-20
DAAA-ARU5-CVDO,"Smoky Dreams Dispensary LLC","Smoky Dreams",Dispensary,Grove,Delaware,2024-02-01
DAAA-VYAX-5NNV,"Oklahoma Native Roots Health and Wellness, LLC","Oklahoma Native Roots Health and Wellness, LLC",Dispensary,DUNCAN,Stephens,2024-01-09
DAAA-4JHK-XHKP,"Vice Capital Dispensary LLC","Lotus Gold",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-12-27
DAAA-4YD1-QVUT,"The Greenwood Cure Inc","The Greenwood Cure Inc",Dispensary,TULSA,Tulsa,2024-02-07
DAAA-EJNZ-2COE,"3 Leafs Dispensary, LLC","3 Leafs Dispensary, LLC",Dispensary,TULSA,Tulsa,2024-03-27
DAAA-XLVV-AOEQ,"Green medical patients LLC",Greendoctor420,Dispensary,"OKLAHOMA CITY",Cleveland,2023-11-10
DAAA-BH3E-9X0L,"J-J Weed Company, LLC","The Reefer Shack",Dispensary,SEMINOLE,Seminole,2023-10-30
DAAA-VJNL-SLFW,"Smart Stop LLC","Smart Stop LLC",Dispensary,WEWOKA,Seminole,2023-02-27
DAAA-KNV0-EI2B,"Rough Country Cannabis","Rough Country Cannabis",Dispensary,Durant,Bryan,2023-10-02
DAAA-UZUV-KVSE,"PAIN FREE BUDS RX, LLC","PAIN FREE BUDS",Dispensary,PURCELL,McClain,2022-11-27
DAAA-V1OQ-I54K,"B and B Alternatives LLC","The Remedy",Dispensary,DURANT,Bryan,2024-01-09
DAAA-4KRM-DKJ1,"Emerald Group, Inc.","The Healing Club",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-10-04
DAAA-TYLZ-TRCZ,"Angel Farmhouse LLC","TNT Cannabis Group",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-03
DAAA-N1WL-B1AY,"THC The Healing Clinic, LLC","THC The Healing Clinic, LLC",Dispensary,"Medicine Park",Comanche,2023-09-30
DAAA-ZECW-JEGY,"PLNT46 LLC","Native Brothers Dispensary on Santa Fe",Dispensary,EDMOND,Oklahoma,2022-10-19
DAAA-NKXZ-IZZ0,"Viva Sativa L.L.P.","Viva Sativa L.L.P.",Dispensary,Talihina,"Le Flore",2024-03-07
DAAA-NYUI-NCNJ,"The Two Romans Garden LLC","State Line Dispensary of Roland",Dispensary,ROLAND,Sequoyah,2023-12-10
DAAA-4JBP-8NGW,"Peaceful ReLeaf LLC","Peaceful ReLeaf LLC",Dispensary,TULSA,Tulsa,2023-12-25
DAAA-FULS-S8EF,"The House of Chronic LLC","The House of Chronic LLC",Dispensary,"Del City",Oklahoma,2024-08-24
