,licence_type,license_no,business_name,dba,street_address,zip_code,city,county,telephone_number,email,hours_of_operation,expiration_date
0,Dispensary,DAAA-VKRC-CXKF,BIG BUDS DISPENSARY INC,Big Buds Natural Releaf II Dispensary,317 E WC ROGERS BLVD,74070-1205,SKIATOOK,Tulsa,9189162477,ilikebigbudsnaturalreleaf@gmail.com,8 AM TO 10 PM,2023-12-23
1,Dispensary,DAAA-FCZL-BTKN,"Health Express 6-T, LLC","Health Express 6-T, LLC",5515 W OWEN K GARRIOTT RD STE 8,73703-6085,ENID,Garfield,(405) 225-0889,john.smith@cbdplususa.com,12:00am-11:59pm,2024-05-11
2,Dispensary,DAAA-E1D5-MWOU,THOMAS RAY SMITH,CANNAISSEURS,901 PENNSYLVANIA AVE. B,74547,Hartshorne,Pittsburg,9182975707,cz17hmr2@att.net,mon-thurs 10a-7p fri-sat 10a-8p,2024-04-06
3,Dispensary,DAAA-KQRO-QHT2,SB Mayfair LLC,Star Buds Mayfair,4000 N MAY AVE,73112-6269,OKLAHOMA CITY,Oklahoma,4052426410,evergreenparadisellc@gmail.com,8am-12am,2022-10-20
4,Dispensary,DAAA-SQLZ-RQQ7,Green Times Enterprises Inc,Healing Plants,21699 HIGHWAY 32,73440,LEBANON,Marshall,4802085244,ruth.reyes11@gmail.com,10am-8pm,2024-01-10
5,Dispensary,DAAA-EJ6K-39DH,Pasolindo LLC,Evergreen Cannabis Collective,3641 NW 63rd street,73116,Oklahoma City,Oklahoma,4058754013,thepeak63@gmail.com,11-7 M-Sat,2023-08-07
6,Dispensary,DAAA-EYHY-RZFY,Mister Mary Jane LLC,Mister Mary Jane,328 S 81 HWY,73533-2909,DUNCAN,Stephens,5807862076,dixon.harper@gmail.com,10-9,2023-09-29
7,Dispensary,DAAA-4YKZ-SHBW,Bo and Ja Trucking Corp,The Wild Wood Weed,5501 S REGINA AVE,73179-7400,OKLAHOMA CITY,Oklahoma,4058241874,jayaaa@aol.com,"M-F, 9A-5P",2023-02-28
8,Dispensary,DAAA-41NI-4FPS,Mainstreet 420 Shop,Mainstreet 420 Shop,417 W Main,73009-0233,Binger,Caddo,(405) 687-5004,nativerootz@yahoo.com,10-8,2023-05-23
9,Dispensary,DAAA-44MU-XJRF,Hardee Pharms LLC,Hardee Pharms LLC,25428 HIGHWAY 66 W,73014,CALUMET,Canadian,4052057508,hardeepharms@gmail.com,Monday-Sunday 9am-7pm,2024-03-31
10,Dispensary,DAAA-HAAS-FAKO,Fire Depot Dispensary,Fire Depot Dispensary,7825 NE 23RD ST,73141-1428,OKLAHOMA CITY,Oklahoma,4055149062,will3416@gmail.com,10 - 10,2023-10-20
11,Dispensary,DAAA-EKXF-XRVF,"Pot Luck Dispensary, LLC","Pot Luck Dispensary, LLC",11 NW 67TH ST,73505-5641,LAWTON,Comanche,4058204284,dfp73082@gmail.com,10am-9pm M-S 12-6 Sun,2024-03-13
12,Dispensary,DAAA-VKK4-QESC,"The Green Tumbleweed, LLC",The Green Tumbleweed,,73501-4206,LAWTON,Comanche,(580) 699-2234,corbin.burgess@yahoo.com,10AM-8PM,2023-10-20
13,Dispensary,DAAA-41ZP-SHYN,"Southern Plains Processing, LLC","Southern Plains Processing, LLC",,73006-9745,APACHE,Caddo,(504) 914-6335,gsw504@yahoo.com,8 am - 11:59 pm,2023-12-11
